Local time,Open,High,Low,Close
30.07.2020 04:00:00.000 GMT+0700,1969.588,1971.445,1939.245,1956.148
31.07.2020 04:00:00.000 GMT+0700,1956.318,1984.218,1954.908,1975.568
01.08.2020 04:00:00.000 GMT+0700,1975.568,1975.568,1975.568,1975.568
02.08.2020 04:00:00.000 GMT+0700,1975.568,1975.568,1975.568,1975.568
03.08.2020 04:00:00.000 GMT+0700,1978.898,1989.148,1960.378,1976.378
04.08.2020 04:00:00.000 GMT+0700,1976.348,2019.885,1966.725,2018.548
05.08.2020 04:00:00.000 GMT+0700,2018.518,2055.648,2009.338,2037.418
06.08.2020 04:00:00.000 GMT+0700,2038.578,2069.595,2034.385,2062.828
07.08.2020 04:00:00.000 GMT+0700,2063.348,2074.798,2015.385,2034.298
08.08.2020 04:00:00.000 GMT+0700,2034.298,2034.298,2034.298,2034.298
09.08.2020 04:00:00.000 GMT+0700,2034.298,2034.298,2034.298,2034.298
10.08.2020 04:00:00.000 GMT+0700,2033.708,2049.748,2018.638,2026.728
11.08.2020 04:00:00.000 GMT+0700,2027.498,2029.935,1901.188,1910.928
12.08.2020 04:00:00.000 GMT+0700,1909.408,1949.548,1862.318,1915.138
13.08.2020 04:00:00.000 GMT+0700,1915.718,1966.165,1912.608,1952.968
14.08.2020 04:00:00.000 GMT+0700,1953.128,1962.075,1932.025,1943.998
15.08.2020 04:00:00.000 GMT+0700,1943.998,1943.998,1943.998,1943.998
16.08.2020 04:00:00.000 GMT+0700,1943.998,1943.998,1943.998,1943.998
17.08.2020 04:00:00.000 GMT+0700,1948.718,1990.478,1929.348,1984.948
18.08.2020 04:00:00.000 GMT+0700,1984.268,2015.498,1975.898,2001.998
19.08.2020 04:00:00.000 GMT+0700,2001.728,2006.355,1924.528,1928.488
20.08.2020 04:00:00.000 GMT+0700,1928.438,1955.125,1924.688,1946.668
21.08.2020 04:00:00.000 GMT+0700,1946.738,1955.765,1911.238,1939.618
22.08.2020 04:00:00.000 GMT+0700,1939.618,1939.618,1939.618,1939.618
23.08.2020 04:00:00.000 GMT+0700,1939.618,1939.618,1939.618,1939.618
24.08.2020 04:00:00.000 GMT+0700,1939.868,1961.788,1923.608,1928.418
25.08.2020 04:00:00.000 GMT+0700,1926.628,1937.425,1914.105,1927.658
26.08.2020 04:00:00.000 GMT+0700,1930.918,1954.748,1902.678,1953.938
27.08.2020 04:00:00.000 GMT+0700,1954.288,1976.578,1909.778,1929.098
28.08.2020 04:00:00.000 GMT+0700,1928.718,1973.718,1923.288,1964.428
29.08.2020 04:00:00.000 GMT+0700,1964.428,1964.428,1964.428,1964.428
30.08.2020 04:00:00.000 GMT+0700,1964.428,1964.428,1964.428,1964.428
31.08.2020 04:00:00.000 GMT+0700,1965.378,1976.465,1954.125,1967.438
01.09.2020 04:00:00.000 GMT+0700,1967.108,1992.298,1963.115,1969.988
02.09.2020 04:00:00.000 GMT+0700,1969.408,1973.118,1932.428,1942.468
03.09.2020 04:00:00.000 GMT+0700,1942.038,1950.905,1921.658,1930.328
04.09.2020 04:00:00.000 GMT+0700,1930.958,1947.655,1916.198,1933.298
05.09.2020 04:00:00.000 GMT+0700,1933.298,1933.298,1933.298,1933.298
06.09.2020 04:00:00.000 GMT+0700,1933.298,1933.298,1933.298,1933.298
07.09.2020 04:00:00.000 GMT+0700,1929.788,1941.268,1924.288,1927.998
08.09.2020 04:00:00.000 GMT+0700,1929.298,1940.748,1906.428,1931.648
09.09.2020 04:00:00.000 GMT+0700,1931.538,1950.775,1919.935,1946.358
10.09.2020 04:00:00.000 GMT+0700,1946.388,1966.398,1941.315,1945.408
11.09.2020 04:00:00.000 GMT+0700,1944.678,1954.658,1937.008,1938.928
